ETABLISSEMENT_Type;ETABLISSEMENT_Nom;FORMATION_Nom;FORMATION_Domaine;FORMATION_Specialite;FORMATION_Descriptif;FORMATION_Niveau_de_diplme_lentree;FORMATION_Niveau_de_diplme_en_sortie;FORMATION_Duree_en_annees;FORMATION_Total_ECTS;UNITE_DE_VALEUR_COURS_Questions_ENV_au_sens_large_evoquees_oui_non;UNITE_DE_VALEUR_COURS_Enjeux_transition_energetiqueclimat_abordes_oui_non;UNITE_DE_VALEUR_COURS_Nom_du_cours;UNITE_DE_VALEUR_COURS_Cours_optionnel_ou_obligatoire;UNITE_DE_VALEUR_COURS_Duree_du_cours_en_nombre_dheures;UNITE_DE_VALEUR_COURS_Formation_initiale_ou_continue
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Economie_de_la_transition_energetique_dans_le_batiment_1A;;;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Transition_energetique_et_changement_climatique_1A;;;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Ville_et_transition_energetique_1A;;;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;non;developpement_durable_ingenieurs_pour_un_monde_complexe_1A;obligatoire;15.0;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Economie_de_lenvironnement_et_de_lenergie_23A;;;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Energie_reduction_et_modification_de_la_consommation_23A;;21.0;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Eenjeux_globaux_de_lenvironnement_et_du_DD;;12.0;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;non;Evaluation_environnementale_et_conception;;;
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;oui;Changement_climatique;;39.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;non;Choix_des_infrastructures_de_transport_et_durabilite;;30.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;non;Defis_et_definition_des_mobilites_durables;;42.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;non;Developpement_durable_jeux_dacteurs_et_enjeu_daction_collective;;21.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;non;Economie_de_lenvironnement;;21.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;non;Economie_des_transports;;33.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;oui;oui;Externalites_des_transports_elements_danalyse;;21.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;non;non;Ingenierie_des_vehicules_respectueux_de_lenvironnement_1;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transport_et_developpement_durable;Sciences_Technologie_Sante;Transport;Ingenierie_sciences_sociales_et_management_aplliques_au_transport_durable;Bac+4;Bac+5;1.0;;non;non;Ingenierie_des_vehicules_respectueux_de_lenvironnement_2;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Gestion_et_traitement_des_eaux_des_sols_et_des_dechets;Sciences_Technologie_Sante;Eau_sols_dechets;Master_professionnel_qui_vise_former_des_cadres_de_haut_niveau_capables_dintervenir_sur_le_marche_du_travail_de_maniere_innovante_dans_lidentification_la_gestion_et_le_traitement_des_problemes_environnementauxIl_repond_un_besoin_exprime_par_les_entreprises_franaises_en_matiere_de_formation_de_cadres_dans_les_pays_emergentsIl_a_pour_objectif_de_donner_des_etudiants_internationaux_une_solide_et_large_formation_scientifique_leur_permettant_de_comprendre_la_dynamique_des_geosystemes_eau_sol_devaluer_les_impacts_generes_par_les_activites_humaines_et_de_mettre_en_uvre_les_outils_techniques_et_dispositifs_permettant_de_les_corriger;Bac+4;Bac+5;1.5;90.0;oui;oui;Connaissances_des_milieux_hydrologie_et_hydrogeologie;;54.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Gestion_et_traitement_des_eaux_des_sols_et_des_dechets;Sciences_Technologie_Sante;Eau_sols_dechets;Master_professionnel_qui_vise_former_des_cadres_de_haut_niveau_capables_dintervenir_sur_le_marche_du_travail_de_maniere_innovante_dans_lidentification_la_gestion_et_le_traitement_des_problemes_environnementauxIl_repond_un_besoin_exprime_par_les_entreprises_franaises_en_matiere_de_formation_de_cadres_dans_les_pays_emergentsIl_a_pour_objectif_de_donner_des_etudiants_internationaux_une_solide_et_large_formation_scientifique_leur_permettant_de_comprendre_la_dynamique_des_geosystemes_eau_sol_devaluer_les_impacts_generes_par_les_activites_humaines_et_de_mettre_en_uvre_les_outils_techniques_et_dispositifs_permettant_de_les_corriger;Bac+4;Bac+5;1.5;90.0;oui;non;Economie_droit_de_lenvironnement_et_gestion_de_projet;;53.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Gestion_et_traitement_des_eaux_des_sols_et_des_dechets;Sciences_Technologie_Sante;Eau_sols_dechets;Master_professionnel_qui_vise_former_des_cadres_de_haut_niveau_capables_dintervenir_sur_le_marche_du_travail_de_maniere_innovante_dans_lidentification_la_gestion_et_le_traitement_des_problemes_environnementauxIl_repond_un_besoin_exprime_par_les_entreprises_franaises_en_matiere_de_formation_de_cadres_dans_les_pays_emergentsIl_a_pour_objectif_de_donner_des_etudiants_internationaux_une_solide_et_large_formation_scientifique_leur_permettant_de_comprendre_la_dynamique_des_geosystemes_eau_sol_devaluer_les_impacts_generes_par_les_activites_humaines_et_de_mettre_en_uvre_les_outils_techniques_et_dispositifs_permettant_de_les_corriger;Bac+4;Bac+5;1.5;90.0;oui;non;Traitements_de_potabilisation_ecotoxicologie_et_qualite_des_eaux;;66.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Gestion_et_traitement_des_eaux_des_sols_et_des_dechets;Sciences_Technologie_Sante;Eau_sols_dechets;Master_professionnel_qui_vise_former_des_cadres_de_haut_niveau_capables_dintervenir_sur_le_marche_du_travail_de_maniere_innovante_dans_lidentification_la_gestion_et_le_traitement_des_problemes_environnementauxIl_repond_un_besoin_exprime_par_les_entreprises_franaises_en_matiere_de_formation_de_cadres_dans_les_pays_emergentsIl_a_pour_objectif_de_donner_des_etudiants_internationaux_une_solide_et_large_formation_scientifique_leur_permettant_de_comprendre_la_dynamique_des_geosystemes_eau_sol_devaluer_les_impacts_generes_par_les_activites_humaines_et_de_mettre_en_uvre_les_outils_techniques_et_dispositifs_permettant_de_les_corriger;Bac+4;Bac+5;1.5;90.0;oui;non;Depollution_et_rehabilitation_des_sites_et_sols_pollues_et_gestion_de_la_ressource;;21.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Gestion_et_traitement_des_eaux_des_sols_et_des_dechets;Sciences_Technologie_Sante;Eau_sols_dechets;Master_professionnel_qui_vise_former_des_cadres_de_haut_niveau_capables_dintervenir_sur_le_marche_du_travail_de_maniere_innovante_dans_lidentification_la_gestion_et_le_traitement_des_problemes_environnementauxIl_repond_un_besoin_exprime_par_les_entreprises_franaises_en_matiere_de_formation_de_cadres_dans_les_pays_emergentsIl_a_pour_objectif_de_donner_des_etudiants_internationaux_une_solide_et_large_formation_scientifique_leur_permettant_de_comprendre_la_dynamique_des_geosystemes_eau_sol_devaluer_les_impacts_generes_par_les_activites_humaines_et_de_mettre_en_uvre_les_outils_techniques_et_dispositifs_permettant_de_les_corriger;Bac+4;Bac+5;1.5;90.0;oui;non;Gestion_et_traitement_des_dechets;;72.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Gestion_et_traitement_des_eaux_des_sols_et_des_dechets;Sciences_Technologie_Sante;Eau_sols_dechets;Master_professionnel_qui_vise_former_des_cadres_de_haut_niveau_capables_dintervenir_sur_le_marche_du_travail_de_maniere_innovante_dans_lidentification_la_gestion_et_le_traitement_des_problemes_environnementauxIl_repond_un_besoin_exprime_par_les_entreprises_franaises_en_matiere_de_formation_de_cadres_dans_les_pays_emergentsIl_a_pour_objectif_de_donner_des_etudiants_internationaux_une_solide_et_large_formation_scientifique_leur_permettant_de_comprendre_la_dynamique_des_geosystemes_eau_sol_devaluer_les_impacts_generes_par_les_activites_humaines_et_de_mettre_en_uvre_les_outils_techniques_et_dispositifs_permettant_de_les_corriger;Bac+4;Bac+5;1.5;90.0;oui;non;Management_environnemental;;12.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Mobilites_et_vehicules_electriques;Sciences_Technologie_Sante;Mobilite;Forme_des_ingenieurs_aux_technologies_necessaires_la_conception_des_vehicules_du_futur_Questions_abordees_sous_plusieurs_axes_comprehension_necessaire_aux_besoins_en_mobilite_possibles_reponses_durables_dun_point_de_vue_technique_compormental_et_organisationnel;Bac+4;Bac+5;;;oui;non;Enjeux_des_mobilites_durables;Obligatoire;51.0;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_mathematiques_appliquees_la_finance;Sciences_Technologie_Sante;Mathematiques;Parcours_axe_sur_les_techniques_de_quantification_et_de_couverture_des_risques_sur_les_marches_financiers;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_mathematiques_vision_apprentissage;Sciences_Technologie_Sante;Mathematiques;Forme_depuis_sa_creation_chaque_annee_plusieurs_dizaines_detudiants_des_universites_et_des_grandes_ecoles_aux_metiers_de_la_recherche_publique_et_privee_dans_le_domaine_des_mathematiques_appliquees_au_traitement_des_donnees_des_images_et_des_signaux;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_modelisation_analyse_simulation;Sciences_Technologie_Sante;Mathematiques;Etude_theorique_et_numerique_des_problemes_modelises_par_des_equations_aux_derivees_partielles_lineaires_et_non_lineaires_provenant_de_domaines_varies_tels_que_la_physique_les_sciences_de_lingenieur_la_chimie_la_biologie_leconomie_ainsi_que_les_methodes_de_calcul_scientifique;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_recherche_operationnelle;Sciences_Technologie_Sante;Mathematiques;Lobjectif_du_Master_RO_est_de_former_des_experts_en_recherche_operationnelle_capables_de_modeliser_et_resoudre_des_problemes_industriels_complexes_et_de_mener_des_recherches_fondamentales_et_appliquees_dans_cette_discipline;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_durabilite_des_materiaux_et_des_structures_pour_lenergie;Sciences_Technologie_Sante;Mathematiques;Ce_parcours_vise_former_des_personnels_de_haut_niveau_scientifique_susceptibles_de_prendre_en_charge_les_problematiques_de_durabilite_des_installations_futures_et_de_renforcement_des_installations_existantes_Conceptions_de_nouvelles_structures_durables_pour_le_secteur_de_lenergie_par_exemple_des_eoliennes_offshore_Analyse_des_infrastructures_pour_lenergie_vieillissantes_Mise_en_place_si_cela_est_pertinent_de_procedes_de_renforcement_des_installations_Infrastructures_principalement_concernees_REP_et_barrages;Bac+4;Bac+5;1.0;;non;oui;Le_systeme_energetique_de_production_delectricite;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_energie_specialite_demantelement_et_gestion_des_dechets;Sciences_Technologie_Sante;Energie;Cette_formation_apporte_les_connaissances_necessaires_liees_aux_operations_de_demantelement_des_centrales_nucleaires_anciennes_et_la_gestion_des_dechets_Elle_couvre_egalement_lensemble_des_mesures_destinees_assurer_la_protection_de_lhomme_et_de_son_environnement_associees_ces_activites;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_Transition_energetique_et_territoires;Sciences_Technologie_Sante;Energie;Il_sagit_de_former_lasimulation_lamodelisation_laconception_levaluationet_lexploitation_dun_systeme_vehicule_batiment_procedes_produit_service_en_termes_deperformance_energetique_observee_delechelle_des_materiaux_celle_de_la_ville_en_passant_par_celle_du_batiment_des_reseaux_des_systemes_de_transport_le_tout_en_coherence_avec_lesenjeux_geopolitiques_de_lenergie_en_mettant_un_accent_particulier_sur_lacceptabiliteet_lechelle_en_jeu;Bac+4;Bac+5;1.0;;non;oui;Ressources_minieres_et_energetiques_evaluation_et_prospective;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_approches_multi_echelles_pour_les_materiaux_et_les_structures;Sciences_Technologie_Sante;Materiaux;Le_master_Approches_multi_echelles_pour_les_materiaux_et_les_structures_permet_aux_etudiants_dacquerir_une_formation_theorique_et_pratique_de_haut_niveau_en_matiere_de_modelisation_et_de_simulation_numerique_dans_les_domaines_suivants_de_la_mecanique_mecanique_des_solides_et_mecanique_des_structureset_des_ouvrages_mecanique_et_physique_des_materiaux_heterogenes_qui_resultent_dun_assemblage_de_plusieurs_constituants_des_echelles_differentes_en_tenant_compte_des_preoccupations_actuelles_des_industriels_des_problematiques_posees_par_la_recherche_technologique_dans_le_court_terme_et_moyen_terme_et_des_problematiques_de_recherche_du_secteur_dans_le_long_terme;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_mecanique_des_sols_des_roches_et_des_ouvrages_dans_leur_environnement;Sciences_Technologie_Sante;Mecanique;Forme_des_modelisateurs_performants_en_geotechnique_en_ciblant_sur_des_aspects_forte_demande_industrielle_actuelle_et_venir_tels_que_lamenagement_urbain_et_lamenagement_dans_un_environnement_difficile_la_geotechnique_liee_la_pollution_aux_dechets_et_aux_risques_majeurs_ainsi_que_de_faon_plus_generale_la_protection_de_notre_environnement;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_sciences_des_materiaux_pour_la_construction_durable;Sciences_Technologie_Sante;Materiaux;Cette_formation_permet_dacquerir_les_bases_scientifiques_necessaires_une_approche_multidisciplinaire_et_multiechelles_du_comportement_des_materiaux_de_loptimisation_de_leur_fabrication_de_leurs_proprietes_dusage_et_de_leur_durabilite_sous_conditions_environnementales_definies_Organisee_en_modules_thematiques_dans_les_domaines_de_la_physique_de_la_mecanique_de_la_chimie_et_de_la_simulation_numerique_et_en_modules_douverture_aux_problematiques_environnementales_et_energetiques_cette_formation_prepare_aux_metiers_de_la_recherche_et_du_developpement_dans_les_entreprises_de_pointe_et_les_laboratoires_de_recherche;Bac+4;Bac+5;1.0;;non;non;;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_transport_et_mobilite;Sciences_Technologie_Sante;Transports;Former_desspecialistes_de_transport_des_personnes_et_des_biens_partir_dune_culture_multidisciplinaire_economie_gestion_ingenierie_sciences_politiques_droit_amenagement_environnement_ouvrant_soit_sur_desprojets_de_recherche_these_en_laboratoires_ou_en_entreprises_soit_sur_des_projets_professionnels_en_bureaux_detudes_dans_lesentreprises_de_transportet_chez_les_chargeurs_dans_les_administrations_en_charge_de_transports_et_chez_les_gestionnaires_de_reseaux;Bac+4;Bac+5;1.0;;oui;non;Transports_et_conflits_denvironnement;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_transport_et_mobilite;Sciences_Technologie_Sante;Transports;Former_desspecialistes_de_transport_des_personnes_et_des_biens_partir_dune_culture_multidisciplinaire_economie_gestion_ingenierie_sciences_politiques_droit_amenagement_environnement_ouvrant_soit_sur_desprojets_de_recherche_these_en_laboratoires_ou_en_entreprises_soit_sur_des_projets_professionnels_en_bureaux_detudes_dans_lesentreprises_de_transportet_chez_les_chargeurs_dans_les_administrations_en_charge_de_transports_et_chez_les_gestionnaires_de_reseaux;Bac+4;Bac+5;1.0;;oui;non;Transports_environnement_developpement_durable;;;1.0
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Master_economie_du_developpement_durable_de_lenvironnement_et_de_lenergie_Parcours_environnement;Sciences_Technologie_Sante;Economie;Lobjectif_du_Master_est_de_permettre_la_mobilisation_de_domaines_de_competences_multiples_economie_sciences_de_lingenieur_sciences_du_vivant_et_la_maitrise_des_outils_analyse_economique_modelisation_analyse_institutionnelle_gouvernance_par_de_futurs_chercheurs_et_cadres_de_haut_niveau_afin_quils_inscrivent_leurs_actions_dans_une_logique_de_gouvernance_durable_Il_sagit_de_leur_offrir_une_bonne_comprehension_des_enjeux_et_concepts_et_de_leur_permettre_de_repondre_avec_pertinence_et_creativite_aux_defis_du_XXI_siecle_pressions_sur_lenvironnement_inegalites_NordSud_demographie_structuration_du_tissu_economique_lechelle_locale_et_globale;Bac+4;Bac+5;1.0;;oui;non;Methodes_devaluation_et_instruments_des_politiques_environnementales;Obligatoire;20.0;1.0
