"Ecole_commerce","EDHEC","
MSc in Entrepreneurship & Innovation

","Droit, Economie, Gestion","Gestion","La Maîtrise en entrepreneuriat et innovation se concentre sur la construction d'un esprit entrepreneurial audacieux et courageux couplé avec un ensemble de compétences qui est adapte à un monde en mutation. L’étudiant sera doté des compétences professionnelles et personnelles nécessaires pour créer de nouvelles entreprises dynamiques qui ont un sens dans le ncontexte économique ou social. Le programme encourage à penser différemment et à travailler en vue de créer quelque chose de nouveau pour le monde.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-entrepreneurship-and-innovation","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Les deux","1.0"
"Ecole_commerce","EDHEC","
MSc in Creative Business & Social Innovation

","Droit, Economie, Gestion","Gestion","Le Master en création d'entreprise et innovation sociale prépare à une carrière internationale dans l'économie créative; la gestion d’entreprises du secteur des arts, de la culture, de la technologie ou de l’aide humanitaire. L’édutiant apprend à poser les bonnes questions, à avoir une vue d’ensemble et à mieux comprendre la complexité et la mondialisation. Le MSc en création d'entreprise et innovation sociale prépareà une carrière internationale dans l'économie créative; la gestion d’entreprises du secteur des arts, de la culture, de la technologie ou de l’aide humanitaire. Le programme donne pour avoir un impact positif dans le monde.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-creative-business-and-social-innovation","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSc in Global & Sustainable Business","Droit, Economie, Gestion","Gestion","La MSc in Global & Sustainable Business fournit des compétences de pointe pour générer une croissance rentable et durable. L’étudiant apprendre à analyser des environnements commerciaux complexes et multiformes et à développer des avantages concurrentiels tout au long de la chaîne de valeur. Le programme propose des cours approfondis sur les disciplines commerciales mondiales, les compétences de gestion et les industries où la durabilité est importante. La maîtrise en commerce mondial et durable prépare à créer un environnement sain et une société inclusive en créant des solutions commerciales mondiales pour l’économie de demain.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-global-sustainable-business","oui","Non indiqué","Green real-estate development.","Non indiqué","Non indiqué","Non indiqué mais limité","Non indiqué","Non indiqué","Le titre des 2 thèmes de cours concernant les enjeux énergie climat sont attrayants mais aucun élément ne permet de comprendre l'enjeu précis du cours. Il y a cependant 23 thèmes de cours,donc au mieux les enjeux Energie Climat représentent 10% du MSC","Formation initiale",""
"Ecole_commerce","EDHEC","MSc in Global & Sustainable Business","Droit, Economie, Gestion","Gestion","La MSc in Global & Sustainable Business fournit des compétences de pointe pour générer une croissance rentable et durable. L’étudiant apprendre à analyser des environnements commerciaux complexes et multiformes et à développer des avantages concurrentiels tout au long de la chaîne de valeur. Le programme propose des cours approfondis sur les disciplines commerciales mondiales, les compétences de gestion et les industries où la durabilité est importante. La maîtrise en commerce mondial et durable prépare à créer un environnement sain et une société inclusive en créant des solutions commerciales mondiales pour l’économie de demain.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-global-sustainable-business","Oui","Non indiqué","Innovation policies for sustainable energy sector.

","Non indiqué","Non indiqué","Non indiqué mais limité","Non indiqué","Non indiqué","Le titre des 2 thèmes de cours concernant les enjeux énergie climat sont attrayants mais aucun élément ne permet de comprendre l'enjeu précis du cours. Il y a cependant 23 thèmes de cours,donc au mieux les enjeux Energie Climat représentent 10% du MSC","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSc in Management Studies","Droit, Economie, Gestion","Gestion","La maîtrise en études de gestion prépare à devenir un gestionnaire relationnel, réfléchi et éthique. Ce programme fourni des principes et une expertise complets dans les principales disciplines de la gestion et permet  de viser un poste de direction..","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-management-studies","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","LL.M. in Law & Tax Management","Droit, Economie, Gestion","Droit","Le LL.M. Law & Tax Management est conçu pour donner les techniques et les compétences nécessaires pour créer de la valeur organisationnelle par le biais du droit. Permet d’acquérir une connaissance pratique des relations entre les entreprises et leur environnement juridique et une compréhension approfondie de la pratique du droit des affaires dans les cabinets juridiques internationaux et les services juridiques des entreprises. Ce programme ouvre les portes à un large éventail de postes dans le monde juridique, tels que les avocats en droit des affaires, les conseils internes ou les responsables de la conformité","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/llm-law-and-tax-management","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","
MSc in Data Analytics & Artificial Intelligence

","Droit, Economie, Gestion","Gestion","La Maîtrise en analyse de données et intelligence artificielle permet d’acquérir un «langage commun» compréhensible à la fois par les scientifiques des données et par la direction de l'entreprise pour créer des stratégies efficaces et novatrices à l'ère numérique. L’étudiant apprend comment étendre sa maîtrise des outils et méthodes de pensée critique pour analyser les comportements économiques et des consommateurs en collectant des données. , en déterminant ce qui est pertinent et en les connectant pour fournir au marché de nouveaux produits, services et modèles de tarification.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-data-analytics-artificial-intelligence","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","
MSc in Corporate Finance & Banking

    At a Glance Academics Career Centre Programme Insights Next Steps 

Ranking
Top 3
Master in Finance Worldwide
Financial Times Ranking 2018
Top 20
Master in Management Worldwide
Financial Times Ranking 2018
At a Glance","Droit, Economie, Gestion","Gestion","La Maîtrise en finance et services bancaires aux entreprises est un programme avancé et intensif conçu pour les étudiants ayant suivi une formation en finance. Le programme apporte le savoir-faire nécessaire pour travailler dans les services de banque d'investissement, de capital d'investissement, de banque d'entreprise ou de conseil financier. ","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-corporate-finance-and-banking","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSc in International Accounting & Finance","Droit, Economie, Gestion","Gestion","La maîtrise en comptabilité et finance internationale est un programme avancé conçu pour fournir les outils et l'expertise pour débuter une carrière en tant qu'auditeur, contrôleur financier ou tout autre rôle important dans les domaines de la finance et des services de conseil. Apprend à gérer des problèmes internationaux complexes en matière de comptabilité et de reporting, à concevoir des mécanismes de contrôle interne et à orienter les performances de gestion. La fin du programme permettra d'acquérir des compétences en matière d'évaluation et de restructuration d'entreprises et  de prendre des décisions financières éclairées pour les organisations internationales","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-international-accounting-and-finance","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSc in Risk & Finance","Droit, Economie, Gestion","Gestion","La maîtrise en gestion des risques et des finances est un programme avancé de 13 mois à temps partiel enseigné à Londres. Compatible avec les calendriers professionnels, ce programme prépare aux carrières des marchés financiers, de la finance d'entreprise, la gestion des risques, la tarification et la couverture des instruments financiers et l'évaluation et la sélection des investissements. Ce programme conviendra après une expérience quantitative, et pour êtes un professionnel de l’industrie de l’investissement ou un professionnel de la finance envisageant un changement de poste.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-risk-and-finance","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSC in Finance","Droit, Economie, Gestion","Gestion","La maîtrise en finance est un programme avancé et complet construit sur tous les sujets clés de la finance d'entreprise et des marchés financiers. Le programme est spécialement conçu pour les diplômés et les jeunes professionnels, avec une formation préalable dans une discipline de comptabilité, qui souhaitent poursuivre une carrière internationale dans la finance.Le programme donne des outils et du savoir-faire nécessaires pour évaluer les sociétés et les investissements, les stratégies de gestion de portefeuille et les décisions relatives au financement des entreprises au. La maîtrise en finance est un partenaire du programme CFA et suit de près le programme d’examen du niveau 1 de la CFA. L'obtention du MSc en finance prépare à passer l'examen CFA de niveau 1.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-finance","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSc in Financial Markets","Droit, Economie, Gestion","Gestion","La maitrise en Financial Markets est un programme avancé conçu pour fournir un savoir-faire approfondi des principaux concepts de la finance liés aux actions, obligations, produits dérivés et investissements alternatifs, ainsi que des outils analytiques utilisés dans l'industrie.Si l’étudiant a une formation quantitative ou une formation préalable en finance et recherche une carrière internationale sur les marchés financiers, ce programme lui convient – il maîtrisera la structure, la tarification et la gestion des risques des instruments financiers et apprendra les bases de la gestion des risques financiers.Avec ce diplôme en poche, l’étudiant pourra faire carrière dans la finance de marché (vente, structuration et trading), dans la recherche, la gestion des risques ou du portefeuille.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-financial-markets","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","Cycle Supérieur de Management Online","Droit, Economie, Gestion","Gestion","e Cycle Supérieur de Management de l'EDHEC est une formation diplômante complète en management (Titre de Niveau 1, niveau Bac+5), disponible en plusieurs formats pour permettre à chacun de se former à son rythme et en fonction de son organisation personnelle et professionnelle.Le format 100% ONLINE est un programme d’apprentissage en E-learning, à distance pour permettre d’apprendre à son rythme, où que l’étudiant soit en France ou à l’étranger. Grâce à un accompagnement individuel renforcé (deux séances de coaching par mois), le Cycle Supérieur de Management permet de développer ses compétences et réussir sa transformation managériale.","Tous niveaux","Bac+5","1.0","Non indiqué","https://online.edhec.edu/fr/csm/cycle-superieur-management-e-learning-100-online","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","Cycle Supérieur de Management en blended Learning","Droit, Economie, Gestion","Gestion","Le Cycle Supérieur de Management de l'EDHEC est une formation diplômante complète en management (Titre de Niveau 1, niveau Bac+5), disponible en plusieurs formats pour permettre à chacun de se former à son rythme et en fonction de son organisation personnelle et professionnelle. Le format Blended Learning associe des modules de formation en E-Learning (à distance) et des regroupements trimestriels en présentiel.","Tous niveaux","Bac+5","1 ou 2 ans","Non indiqué","https://online.edhec.edu/fr/csm/cycle-superieur-management-elearning-format-trimestriel-paris-nice","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","BBA Parcours On Line","Droit, Economie, Gestion","Gestion","Le parcours Online est la seule formation 100% à distance adaptée aux exigences et contraintes des étudiants qu’ils soient sportifs de haut niveau, entrepreneurs, musiciens ou en situation de handicap.Ce parcours s’appuie sur le savoir-faire tout particulier de l’EDHEC en matière d’enseignement à distance et les innovations pédagogiques conçues par les professeurs du Pedagogical Innovation Lab pour proposer un programme intégralement en ligne.","Bac+0","Bac+4","4.0","Non indiqué","https://bba.edhec.edu/fr/parcours/online","oui","non","Responsabilité sociale et environnementale","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Le cours RSE est 1 cours de spécialisation en années 3 4 parmis un choix de 12 spécialisations","Formation initiale","1.0"
"Ecole_commerce","EDHEC","Executive MBA","Droit, Economie, Gestion","Gestion","L’Executive MBA de l’EDHEC (EMBA) offre un environnement d’apprentissage stimulant pour acquérir une vision globale de l’entreprise et être acteur de sa transformation. Dans un monde des affaires aux mutations qui s’accélèrent, notre mission est d’aider à renforcer son leadership et à acquérir une vision globale et transversale de l'entreprise. L’étudiant pourra alors mieux anticiper les enjeux du business, piloter la transformation et accélérer la performance de son entreprise.","Bac+4","Non indiqué","2.0","Non indiqué","https://executive.edhec.edu/fr/emba#programme","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","Global MBA","Droit, Economie, Gestion","Gestion","Le MBA EDHEC Global combine des études commerciales pertinentes avec une expérience humaine inestimable, il permet d’avoir un impact profond sur sa carrière, sa vie et son environnement.Le but de l’EDHEC Global MBA est de donner aux dirigeants des valeurs. Les leaders qui inspirent des valeurs ils prennent des décisions encadrées par des valeurs fondamentales claires. Ils sont cohérents dans leurs décisions et assument la responsabilité des conséquences de leurs actes. Les participants au Global MBA sont invités à développer leurs compétences en leadership grâce à un cycle d'apprentissage vertueux mêlant théorie, action, apprentissage et auto-réflexion","Bac+4","Non indiqué","1.0","Non indiqué","https://mba.edhec.edu/","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","PhD in Finance","Droit, Economie, Gestion","Gestion","Ce programme a pour but d’aider des personnalités remarquables à devenir des chercheurs autonomes et des innovateurs permanents en leur permettant de développer les connaissances scientifiques et les compétences nécessaires pour définir, mener à bien et mener à bien des projets de recherche qui font progresser les connaissances et les pratiques de l’industrie financière.","Bac+4","Non indiqué","Non indiqué","Non indiqué","https://www.edhec.edu/en/phd-finance/edhec-phd-finance-glance","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","Cycle Supérieur de Management","Droit, Economie, Gestion","Gestion","Le Cycle Supérieur de Management de l'EDHEC est une formation diplômante articulée autour du management du business et du management des Hommes.Le Cycle Supérieur de Management de l'EDHEC outille pour apprendre à bâtir une stratégie, un plan d’action, gérer un projet et créer de la valeur, dans le respect d’un cadre légal. Adopter les comportements managériaux appropriés et générer de la performance économique, tout en ayant l’adhésion des équipes et en développant les ressources humaines.Les modules de formation sont dispensés lors de regroupements ou à distance (en e-learning), en fonction du parcours choisi.","Bac+2","Bac+5","1 ou 2 ans","Non indiqué","https://executive.edhec.edu/fr/csm","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","Advanced Management Programme","Droit, Economie, Gestion","Gestion","Face aux grands défis rencontrés par les dirigeants en termes de transformation de l’entreprise et de développement du leadership, l’EDHEC offre un véritable parcours de développement personnel et professionnel.L’Advanced Management Programme (AMP) est une formation diplômante en Management Général de 12 mois à temps partiel sur le campus de l’EDHEC à Paris. Grâce à une pédagogie fondée sur le décalage et l’échange d’expérience, l’étudiant sera amené à prendre du recul, à travailler sur ses convictions et développer un leadership porteur de sens.","Non indiqué","Bac+5","1.0","Non indiqué","https://executive.edhec.edu/fr/amp","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","General Management Accelerated Programme","Droit, Economie, Gestion","Gestion","La révolution numérique affecte toutes les fonctions de l’entreprise et transforme durablement les business models.Pour faire face à ces nouveaux enjeux, l’EDHEC propose une formation accélérée en management général sur le campus Executive de l'EDHEC à Paris. Cette formation certifiante de 3 semaines permet de développer sa capacité à anticiper les mutations et réussir la transformation de son entreprise dans un monde complexe qui bouge vite. ","Non indiqué","Non indiqué","ns","Non indiqué","https://executive.edhec.edu/fr/gmap","Non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","Formation courte","Droit, Economie, Gestion","Gestion","L'EDHEC offre 5 programmes courts thématiques très ciblés, qui peuvent contribuer à tel ou tel MBA","Non indiqué","Non indiqué","Non indiqué","Non indiqué","https://executive.edhec.edu/fr/formations-courtes","Non","non","","","","","","","Ces formations ne semblent pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"Ecole_commerce","EDHEC","Formation Entreprise","Droit, Economie, Gestion","Gestion","L'EDHEC développe des formations ciblées pour l'encadrement de  certaines entreprises (SCNF,LISI Aerospace, H&M)","Non indiqué","Non indiqué","Non indiqué","Non indiqué","https://executive.edhec.edu/fr/formations-sur-mesure#tab_343","Non","non","","","","","","","Ces formations ne semblent pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation continue","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
