"Autres","Université Paris-Dauphine","L2 : Parcours Mathématiques-Economie","Sciences, Technologie, Santé","Mathématiques appliquées","La licence Mathématiques Appliquées propose une formation centrée sur les mathématiques appliquées, en particulier l’optimisation, l'analyse, les probabilités, la statistique et les méthodes numériques. Elle comprend également de nombreux enseignements d’économie, de finance, et d’informatique, ainsi que des enseignements d’ouverture, dans des proportions dépendant des choix de parcours et d’options.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/A3MATH/programme//","Improbable","Improbable","Grands enjeux contemporains","Non indiqué ","Obligatoire","4.0","40.0","Non indiqué ","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Mathématiques-Informatique","Sciences, Technologie, Santé","Mathématiques appliquées","La licence Mathématiques Appliquées propose une formation centrée sur les mathématiques appliquées, en particulier l’optimisation, l'analyse, les probabilités, la statistique et les méthodes numériques. Elle comprend également de nombreux enseignements d’économie, de finance, et d’informatique, ainsi que des enseignements d’ouverture, dans des proportions dépendant des choix de parcours et d’options.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/A3MATH/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Mathématiques-Economie-Finance-Actuariat","Sciences, Technologie, Santé","Mathématiques appliquées","La licence Mathématiques Appliquées propose une formation centrée sur les mathématiques appliquées, en particulier l’optimisation, l'analyse, les probabilités, la statistique et les méthodes numériques. Elle comprend également de nombreux enseignements d’économie, de finance, et d’informatique, ainsi que des enseignements d’ouverture, dans des proportions dépendant des choix de parcours et d’options.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/A3MATH/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Mathématiques-Informatique","Sciences, Technologie, Santé","Mathématiques appliquées","La licence Mathématiques Appliquées propose une formation centrée sur les mathématiques appliquées, en particulier l’optimisation, l'analyse, les probabilités, la statistique et les méthodes numériques. Elle comprend également de nombreux enseignements d’économie, de finance, et d’informatique, ainsi que des enseignements d’ouverture, dans des proportions dépendant des choix de parcours et d’options.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/A3MATH/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Droit et Gestion","Droit, Economie, Gestion","Droit","Se donne pour objectif principal de former des juristes disposant d’une expertise multidisciplinaire du droit des affaires, fondée sur une connaissance solide des problématiques et enjeux juridiques, gestionnaires et économiques conjuguée à la maîtrise des savoir-faire correspondants.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEL3DTG/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Droit et société","Droit, Economie, Gestion","Droit","Se donne pour objectif principal de former des juristes disposant d’une expertise multidisciplinaire du droit des affaires, fondée sur une connaissance solide des problématiques et enjeux juridiques, gestionnaires et économiques conjuguée à la maîtrise des savoir-faire correspondants.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEL3DTG/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial ","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX62","Improbable","Improbable","Histoire économique contemporaine","Comprendre l'histoire économique du monde au XXè siècle","Optionnel","2.0","36.0","examen final","Cours magistral","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial ","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX63","Oui","Oui","Sciences et technologies en société","La « démocratie du carbone » de Timothy Mitchell : comment le charbon puis le pétrole ont façonné nos démocraties.","Optionnel","2.0","18.0","Devoir sur table de 1h30 à chaque semestre.","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial Talents","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX63","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L1 : GBD Londres","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX64","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX65","Non","Non","Grands enjeux contemporains","Appréhender de grands enjeux sociaux, culturels et politiques du monde contemporain","Optionnel","2.0","Non indiqué ","Évaluation : 50% examen, 50% Contrôle Continue","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX66","Oui","Oui","Sciences et technologies en société","La « démocratie du carbone » de Timothy Mitchell : comment le charbon puis le pétrole ont façonné nos démocraties.","Optionnel","2.0","18.0","Devoir sur table de 1h30 à chaque semestre.","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial Talents","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX66","Improbable","Improbable","Grand enjeux contemporains 1","Appréhender de grands enjeux sociaux, culturels et politiques du monde contemporain","Obligatoire","2.0","18.0","Non indiqué ","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial Talents","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX67","Improbable","Improbable","Grand enjeux contemporains 2","Appréhender de grands enjeux sociaux, culturels et politiques du monde contemporain","Obligatoire","2.0","18.0","Évaluation : 50% examen, 50% Contrôle Continue","","1.0"
"Autres","Université Paris-Dauphine","L2 : GBD Londres","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX68","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 Parcours Économie Brooklyn ","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX69","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Économie CPGE","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX70","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Économie et Ingénierie Financières","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX71","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours économie internationale et développement","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX72","Improbable","Improbable","Histoire économique","Révolution industrielle, Révolution agricole et énergétique","Optionnel","2.0","","Participation et quizz : 50% de la note finale. Examen final : 50% de la note final. 25% des questions porteront sur les lectures (dont certaines en anglais).","","1.0"
"","Université Paris-Dauphine","L3 : Parcours économie internationale et développement","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX73","Oui","Non","Économie du développement","Croissance et développement, développement soutenable.","Obligatoire","4 ECTS","39h","Examen terminal, travail personnel (exposé, fiche de lecture ou mini-mémoire). ","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Économie Grandes Écoles","Droit, Economie, Gestion","Economie","Cursus orienté vers les métiers de l'économie, de la finance, l'international et le développement, les carrières dans le domaine de l'économie publique et de la santé, la connaissance des marchés et la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3EAP/programme/L1DEGX73","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Oui","Oui","Sciences et technologies en société","La « démocratie du carbone » de Timothy Mitchell : comment le charbon puis le pétrole ont façonné nos démocraties.","Optionnel","2.0","18.0","Devoir sur table de 1h30 à chaque semestre.","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Improbable","Improbable","Histoire économique contemporaine","Comprendre l'histoire économique du monde au XXè siècle","Optionnel","2.0","36.0","examen final","Cours magistral","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial Talents","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L1 : GBD Londres","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Improbable","Improbable","Grand enjeux contemporains","Appréhender de grands enjeux sociaux, culturels et politiques du monde contemporain","Obligatoire","2.0","18.0","Évaluation : 50% examen, 50% Contrôle Continue","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Oui","Oui","Sciences et technologies en société","La « démocratie du carbone » de Timothy Mitchell : comment le charbon puis le pétrole ont façonné nos démocraties.","Optionnel","2.0","18.0","Devoir sur table de 1h30 à chaque semestre.","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Improbable","Improbable","Histoire économique contemporaine","Comprendre l'histoire économique du monde au XXè siècle","Optionnel","2.0","36.0","examen final","Cours magistral","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial Talents","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Improbable","Improbable","Grand enjeux contemporains 1","Appréhender de grands enjeux sociaux, culturels et politiques du monde contemporain","Obligatoire","2.0","18.0","Non indiqué ","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Initial Talents","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Improbable","Improbable","Grand enjeux contemporains 2","Appréhender de grands enjeux sociaux, culturels et politiques du monde contemporain","Obligatoire","2.0","18.0","Évaluation : 50% examen, 50% Contrôle Continue","","1.0"
"Autres","Université Paris-Dauphine","L2 : GBD Londres","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Gestion","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Improbable","Improbable","Aspect économique de la mondialisation","Fondements théoriques permettant de comprendre les différents phénomènes économiques liés à la mondialisation","Obligatoire","3.0","27.0","Contrôle continu: 50%
examen : 50% ","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Gestion","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Oui","Non","Développement durable et RSE","Non indiqué ","optionnel","4.0","Non indiqué ","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Gestion CCA","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Gestion de patrimoine","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Gestion Apprentissage","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours Gestion Formation Continue","Droit, Economie, Gestion","Gestion","cursus orienté vers les métiers de la gestion des entreprises et, plus généralement, des organisations, sur la base d'une solide formation professionnelle généraliste. Le programme a pour objectif de permettre aux étudiants d'acquérir les connaissances fondamentales et les compétences dans les principaux champs disciplinaires de la gestion (comptabilité, contrôle, de gestion, finance d'entreprise, fiscalité, gestion des ressources humaines, marketing,...).","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3GST/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial ","Sciences Humaines et sociales","Sciences sociales","La Dauphine licence Sciences sociales (D-L3 Sciences sociales) propose une formation pluridisciplinaire. Dans ce but, elle associe méthodes quantitatives et qualitatives dans le cadre d’enseignements de sociologie, de science politique, d’économie et de droit. Dans un environnement dans lequel les métiers sont de moins en moins monodisciplinaires, la Dauphine licence Sciences sociales offre une formation diversifiée, préparant à la professionnalisation tout en étant ouverte sur le monde de la recherche.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3SCS/description/","Oui","Oui","Sciences et technologies en société","La « démocratie du carbone » de Timothy Mitchell : comment le charbon puis le pétrole ont façonné nos démocraties.","Optionnel","2.0","18.0","Devoir sur table de 1h30 à chaque semestre.","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial ","Sciences Humaines et sociales","Sciences sociales","La Dauphine licence Sciences sociales (D-L3 Sciences sociales) propose une formation pluridisciplinaire. Dans ce but, elle associe méthodes quantitatives et qualitatives dans le cadre d’enseignements de sociologie, de science politique, d’économie et de droit. Dans un environnement dans lequel les métiers sont de moins en moins monodisciplinaires, la Dauphine licence Sciences sociales offre une formation diversifiée, préparant à la professionnalisation tout en étant ouverte sur le monde de la recherche.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/L3SCS/description/","Improbable","Improbable","Histoire économique","Révolution industrielle, Révolution agricole et énergétique","Optionnel","2.0","36.0","Participation et quizz : 50% de la note finale. Examen final : 50% de la note final. 25% des questions porteront sur les lectures (dont certaines en anglais).","","1.0"
