"ETABLISSEMENT","","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Mastère spécialisé ""Expert en affaires publiques européennes"" ","Autres","Affaires publiques","Au-delà du métier de responsable des affaires publiques européennes, le Mastère Spécialisé® prépare à plusieurs métiers en lien avec les affaires publiques européennes et peut servir différents projets professionnels.","Bac+5","Bac+6","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Masters-et-Mastere/Masteres-Specialises-R-accredites-par-la-Conference-des-Grandes-Ecoles/Mastere-Specialise-R-Expert-en-affaires-publiques-europeennes ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Master en gestion publique","Autres","Gestion publique","Former des managers capables de piloter et d'encadrer les processus de modernisation engagés au sein du secteur public, qu'il s'agisse des réformes des finances et de la comptabilité, de l'évaluation et du contrôle des politiques menées, de la gestion des ressources humaines ainsi que des transformations organisationnelles qui les accompagnent.","Bac+4","Non indiqué","Non indiqué","Non indiqué","https://www.ena.fr/Formation-continue/Mas ters-et-Mastere/Masters-professionnels-organises-avec-des-universites-partenaires/Master-en-gestion-publique-MGP","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Master Européen de gouvernance et d'administration","Autres","Administration","Le MEGA a pour but de former aux méthodes de gouvernance moderne dans le cadre de la coopération européenne et internationale. Il contribue à la constitution d’un réseau européen de cadres motivés et bien formés sur ces questions.","Bac+4","Non indiqué","2.0","Non indiqué","https://www.ena.fr/Formation-continue/Masters-et-Mastere/Masters-professionnels-organises-avec-des-universites-partenaires/MEGA ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Master 2 professionnel en Administration publique générale","Autres","Administration","Enseignements qui portent sur l'administration économique et financière et visent à donner aux participants des connaissances complètes et précises dans ce domaine, dans une perspective nationale, européenne et comparée. ","Bac+4","Bac+5","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cil/Masters-du-CIL/Master-2-professionnel-en-Administration-publique-generale ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Master 2 professionnel Affaires publiques européennes / Action publique en Europe","Autres","Affaires publiques","Master proposé aux élèves étrangers déjà inscrits au Cycle International Long. ","Bac+4","Bac+5","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cil/Masters-du-CIL/Master-2-professionnel-Affaires-publiques-europeennes-Action-publique-en-Europe","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Master 2 professionnel en Communication des institutions publiques","Autres","Communication","Master proposé aux élèves étrangers déjà inscrits au Cycle International Long. ","Bac+4","Bac+5","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cil/Masters-du-CIL/master-com-ap ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Masters organisés à l'étranger","Autres","Management","Aucune information disponible en ligne.","Non indiqué","Non indiqué","Non indiqué","Non indiqué","https://www.ena.fr/Formation-continue/Masters-et-Mastere/Masters-organises-a-l-etranger ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - GRH et management dans la fonction publique","Autres","Management","Connaître les enjeux et défis en matière de gestion des ressources humaines dans la fonction publique ▪▪ Maîtriser les outils au service du gestionnaire des ressources humaines (gestion prévisionnelle des ressources humaines,pilotage de la performance, systèmes d’information...) ▪▪ Approfondir le rôle du manager, tant dans son implication dans la gestion (recrutement, évaluation) qu’en matière de dialogue social ▪▪ Renforcer ses compétences en matière de conduite du changement (pilotage et méthodologie de la conduite du changement, motivation et valorisation des équipes, égalité professionnelle, etc.)","Non pertinent","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action135/info/ ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Management de crise et gestion post-conflit","Autres","Management","Acquérir et consolider des connaissances, des savoir-faire et des comportements en lien avec le management en situation de crise et de résolution des problèmes ▪▪ Connaître les outils de veille, d’anticipation, d’analyse, de prévention et de gestion de la crise, mettre en oeuvre les moyens d’un accompagnement pendant et après la crise ▪▪ Savoir élaborer une stratégie de communication de crise et mettre en place un dispositif de communication de crise, savoir faire face aux médias en situation tendue ▪▪ Savoir négocier en contexte de crise ▪▪ Savoir mobiliser l’ensemble des acteurs de la sortie et de la stabilisation de la crise","Non pertinent","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action153/info/ ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Asylum and migration in the European Union","Autres","Affaires européennes","To enhance participants'understanding of the actors involved in the construction of an European Area of Freedom, Security and Justice ; To better understand the main challenges, regarding the migration crisis: geographical, political, strategic and legal dimensions ; To have a better grasp of border management and security issues ; To raise and discuss the challenges linked with asylum seekers ; To focus on legal migration and integration dimensions.","Non pertinent","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action264/info/ ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Trajectoire d'une norme européenne : de sa genèse au contentieux","Autres","Affaires européennes","Actualiser et affiner les connaissances en droit de l'Union européenne et ses procédures ; Comprendre le processus de formation et de rédaction des normes européennes ; Maîtriser le labyrinthe décisionnel, analyser les rapports de force et perfectionner les compétences de négociation ; Appréhender le processus de normalisation au sein de l'Union européenne ; Saisir les nuances techniques de la mise en œuvre des dispositifs normatifs de l'Union européenne ; Envisager l'ensemble des difficultés liées à la transposition, au suivi et au contrôle d'application des normes européennes ; Échanger sus ses expériences et s'inscrire dans un réseau de professionnels.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action263/info/ ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Fighting corruption","Autres","Gouvernance","To acquire and consolidate knowledge on lack of probity in financial matters ▪▪To develop skills in corruption detection ▪▪ To learn about the international frameworks of the fight against corruption ▪▪ To acquire and reinforce one’s understanding of the tools for risk prevention and assessment, control and repression ▪▪ To be able to mobilize all stakeholders involved in the fight against corruption","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action136/info/ ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Les politiques publiques : de la conception à l'évaluation","Autres","Gouvernance","Présenter les principaux acteurs et les différentes phases de conception, diagnostic, élaboration, financement, mise en oeuvre et évaluation d’une politique publique ▪▪ Comprendre et maîtriser les différentes logiques de mise en oeuvre d’une politique publique : relations entre l’État et les collectivités territoriales, répartition des compétences, coordination à l’échelle européenne et internationale ▪▪ S’imprégner de nouvelles façons de penser et de faire les politiques publiques","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action147/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Protection des droits de l'homme","Autres","Gouvernance","Acquérir les méthodes de plaidoyer ▪▪ Renforcer ses compétences en droit international des droits de l’homme et sur chacune des thématiques particulières des droits de l’homme ▪▪ Savoir mobiliser les acteurs de la défense des droits de l’homme ▪▪ Maîtriser les outils pédagogiques permettant un débat public ▪▪ Apprendre à faire de l’éducation un outil de prévention des atteintes des droits fondamentaux","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action152/info/  ","Oui","Improbable","Pas de cours, une seule formation au sein de laquelle plusieurs sujets en lien avec la thématique annoncée (Protection des droits de l'homme) sont abordés","Droits économiques et environnementaux (entre autres)","Obligatoire","Non pertinent (formation continue)","Non pertinent","Non indiqué","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Local government","Autres","Gouvernance","To acquire a broad vision of the main principles behind territorial governance: policy coordination, budgetary means, project management on a local level, as well as the institutional, political, economic and social implications of territorial reforms ▪▪ To outline tools for territorial development design and implementation through examples of successful projects, while sharing strategic reﬂections as well as budgetary and technical tools ▪▪ To appraise the role of the citizen in local management and to analyze the democratic stakes in the implementation of public policy","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action151/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Cycle des hautes études européennes","Autres","Affaires européennes","Le Cycle des hautes études européennes apporte une maîtrise complète des procédures et des grands enjeux européens. Outil de mobilité, il favorisera la progression de votre carrière et l’européanisation de votre profil. Il fera de vous des champions opérationnels des questions européennes. Il vous permettra de tisser des liens directs et privilégiés avec les décideurs européens, de pénétrer les mécanismes de l'Union européenne et de vous constituer un puissant réseau professionnel européen.","Tous niveaux","Non pertinent","1.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action267/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Décider son projet de mobilité et de carrière ","Autres","Management","Savoir capitaliser ses expériences et structurer son parcours professionnel ; Savoir identifier ses compétences professionnelles et cibler les compétences capitalisables et transférables ; Préciser et élaborer un projet de mobilité ou de carrière et mobiliser les compétences appropriées.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action228/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Lobbying et communication d'influence","Autres","Communication","Maîtriser la dimension politique de ses communications ; Déjouer les manipulations et revenir sur son terrain ; Développer un sens de la répartie adapté et efficace.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action164/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Media-training : Intervenir en toute situation","Autres","Communication","Déjouer les pièges de l’interview ; Acquérir les bons réflexes pour répondre à la pression des journalistes ; Maîtriser l’interview en situation d’urgence ou de crise","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action169/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Réussir ses interventions média","Autres","Communication","Identifier les règles et anticiper les pièges des interviews ; Réussir ses prises de parole face aux médias ; Optimiser l’impact de son image en situation","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action167/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Rédiger un discours : écrire pour être compris par tous et être convaincant","Autres","Communication","Savoir préparer et séquencer un discours en fonction du public ; Savoir utiliser des supports écrits ou visuels et provoquer","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action170/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Stratégie de communication institutionnelle","Autres","Communication","Définir et piloter l’identité de son institution ; Valoriser et maîtriser l’image","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action171/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Utiliser la communication narrative pour fédérer son auditoire","Autres","Communication","Intégrer le « storytelling » à son discours pour passer d’une communication descriptive à une communication narrative ; Identifier des thèmes porteurs et des angles narratifs dans la culture d’une organisation ; Maîtriser les techniques du « storytelling » et les appliquer","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action173/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Evaluation des politiques publiques","Autres","Gouvernance","Identifier les différents enjeux (stratégiques et opérationnels) liés à l’évaluation des politiques publiques ; Former aux méthodes d’évaluation d’impact des politiques publiques ; À l’issue de la formation,les participants auront acquis une compréhension claire des principaux concepts,une bonne connaissance des enjeux méthodologiques et la capacité d’être des « utilisateurs éclairés » capables de lire et d’interpréter les résultats d’évaluations passées, de les mobiliser dans la mise en oeuvre concrète des politiques publiques, et de préparer la commande de nouvelles évaluations.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action193/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Le management territorial de l'innovation sociale et numérique","Autres","Management","Penser la transition numérique et la transformation des organisations par le prisme de l’innovation sociale ; Avoir une notion plus claire du sens des notions et des enjeux ; Favoriser l’échange d’expériences sur l’innovation sociale","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action189/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Les fonctions d'audit interne et d'inspection générale : ateliers d'échange d'expériences et de pratiques","Autres","Gouvernance","Échanger et partager autour des enjeux, des pratiques et des expériences ; Participer à la construction d’une culture et une éthique communes ; Créer un réseau interfonctions publiques de pairs","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action199/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Préserver l'équilibre des territoires : le supplice de l'Etat ? Ou comment répondre au défi de la cohésion territoriale ","Autres","Gouvernance","Interroger la pertinence des dispositifs d’action mis en place par l’État sur les territoires afin de lutter contre les inégalités territoriales.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action188/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Design pour l'innovation publique","Autres","Administration publique","Comprendre la démarche du design, son intérêt et ses applications possibles pour l’innovation publique ; Savoir pour quels objectifs et comment mettre en oeuvre une démarche de design, ou l’intégrer à une stratégie ou un projet d’innovation","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action210/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Manager l'innovation","Autres","Management","Savoir construire une stratégie d’innovation ; Acquérir des méthodes de management et pilotage d’une stratégie d’innovation","Tous niveaux","Non pertinent","","Non pertinent ","https://candidature-formation.ena.fr/registration/action207/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Piloter un projet innovant","Autres","Management","Être capable de mettre en place une logique de pilotage de projet consolidée et agile ; Savoir créer et piloter des démarches « test and learn » intelligentes et stratégiques ; Savoir mettre en place des dispositifs d’expérimentation et de maturation des idées pour répondre à une problématique évolutive","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action211/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Se former à l'approche comportementale","Autres","Innover","Comprendre les enjeux de l’approche comportementale et les apports des différentes disciplines ; Maîtriser les concepts (biais cognitifs, « nudges ») ; Évaluer la portée de cette méthode au niveau français, européen et international ; Utiliser l’approche comportementale sur le terrain, de l’immersion à l’évaluation des projets","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action214/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Conduire le changement au sein de son organisation","Autres","Management ","Appréhender la démarche de conduite du changement en termes de gestion de projet ; Évaluer les facteurs de réussite et de résistance au changement et s’interroger sur les valeurs ; Savoir accompagner son projet d’organisation ou de réorganisation.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action221/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Développer la performance individuelle et collective de son équipe","Autres","Management","Décoder les profils de motivation de ses collaborateurs ; Développer une posture de management qui favorise la motivation ; Faire face à la démotivation","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action222/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Impliquer ses équipes dans les changements 2018","Autres","Management","Fournir aux managers les clés pour convaincre, fédérer et responsabiliser ses collaborateurs, afin de transformer des blocages ou freins potentiels en véritables leviers d’une conduite du changement.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action241/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Le manager négociateur","Autres","Management","Savoir définir son mandat et son autonomie de décision ; Savoir s’affirmer ; Savoir gérer son stress pour ne pas perdre son cap","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action229/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
