"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Université","Université de Strasbourg","DUT Génie biologique option génie de l’environnement","Sciences, Technologie, Santé","Génie biologique ","Analyse et mesure des pollutions. Technologie du traitement des pollutions. Le technicien supérieur traite les problèmes techniques rencontrés dans deux domaines principaux : - la physico-chimie et la biologie des milieux ; pollutions de l'air, des eaux et des sols, gestion des déchets - l'analyse des systèmes vivants et à leurs interactions avec les milieux naturels ou modifiés ; écosystèmes urbains, industriels, ruraux.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH54&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20345&cHash=738ccdf2e5952ce9bcb423a266d37189","Oui","Improbable","Droit de l'environnement","Connaître la législation sur l’environnement et ses applications, Connaître les normes en matière d’environnement et leurs conséquences","Obligatoire","non indiqué","15.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Génie biologique option génie de l’environnement","Sciences, Technologie, Santé","Génie biologique ","Analyse et mesure des pollutions. Technologie du traitement des pollutions. Le technicien supérieur traite les problèmes techniques rencontrés dans deux domaines principaux : - la physico-chimie et la biologie des milieux ; pollutions de l'air, des eaux et des sols, gestion des déchets - l'analyse des systèmes vivants et à leurs interactions avec les milieux naturels ou modifiés ; écosystèmes urbains, industriels, ruraux.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH54&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20345&cHash=738ccdf2e5952ce9bcb423a266d37190","Oui","Improbable","Economie de l'environnement","Connaître les normes en matière d’environnement et leurs conséquences","Obligatoire","non indiqué","9.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Génie biologique option génie de l’environnement","Sciences, Technologie, Santé","Génie biologique ","Analyse et mesure des pollutions. Technologie du traitement des pollutions. Le technicien supérieur traite les problèmes techniques rencontrés dans deux domaines principaux : - la physico-chimie et la biologie des milieux ; pollutions de l'air, des eaux et des sols, gestion des déchets - l'analyse des systèmes vivants et à leurs interactions avec les milieux naturels ou modifiés ; écosystèmes urbains, industriels, ruraux.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH54&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20345&cHash=738ccdf2e5952ce9bcb423a266d37191","Oui","Improbable","Développement durable","Outre les aspects environnementaux spécifiques à l’option, les aspects économiques et sociaux du Développement Durable seront développés","Obligatoire","non indiqué","10.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Génie biologique option génie de l’environnement","Sciences, Technologie, Santé","Génie biologique ","Analyse et mesure des pollutions. Technologie du traitement des pollutions. Le technicien supérieur traite les problèmes techniques rencontrés dans deux domaines principaux : - la physico-chimie et la biologie des milieux ; pollutions de l'air, des eaux et des sols, gestion des déchets - l'analyse des systèmes vivants et à leurs interactions avec les milieux naturels ou modifiés ; écosystèmes urbains, industriels, ruraux.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH54&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20345&cHash=738ccdf2e5952ce9bcb423a266d37192","Oui","Improbable","Déchets gestion","Connaître les types de déchets, Connaître l’organisation des différentes filières de collecte et de traitement des déchets et les acteurs du domaine","Obligatoire","non indiqué","13.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Génie biologique option génie de l’environnement","Sciences, Technologie, Santé","Génie biologique ","Analyse et mesure des pollutions. Technologie du traitement des pollutions. Le technicien supérieur traite les problèmes techniques rencontrés dans deux domaines principaux : - la physico-chimie et la biologie des milieux ; pollutions de l'air, des eaux et des sols, gestion des déchets - l'analyse des systèmes vivants et à leurs interactions avec les milieux naturels ou modifiés ; écosystèmes urbains, industriels, ruraux.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH54&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20345&cHash=738ccdf2e5952ce9bcb423a266d37193","Oui","Improbable","Climatologie","non indiqué","Obligatoire","non indiqué","15.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Génie biologique option Industries agroalimentaires et biologiques","Sciences, Technologie, Santé","Génie biologique ","Le diplômé en Génie Biologique – Option IAB exerce ses activités dans les secteurs agroalimentaire, pharmaceutique, cosmétique et biotechnologique ou de la restauration collective. Il prend en charge des missons techniques diverses qui peuvent concerner le procédé de fabrication, la sécurité alimentaire, la recherche et développement, les biotechnologies ou l’environnement.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH54&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20210&cHash=da0c2b65ce80b2a8bae33b1973bf7fda","Oui","Improbable","Développement durable","non indiqué","Obligatoire","non indiqué","non indiqué","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Construction durable","Sciences, Technologie, Santé","Génie civil","Former des cadres polyvalents du BTP (bâtiment et travaux publics) capables de concevoir, construire et entretenir des bâtiments, des routes, des ouvrages d'art, avec des modes constructifs compatibles avec les enjeux du développement durable.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8546&cHash=a3885b8d79d22df770637e75344143d2","Improbable","Improbable","Énergétique","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Construction durable","Sciences, Technologie, Santé","Génie civil","Former des cadres polyvalents du BTP (bâtiment et travaux publics) capables de concevoir, construire et entretenir des bâtiments, des routes, des ouvrages d'art, avec des modes constructifs compatibles avec les enjeux du développement durable.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8552&cHash=c37281b2c6d72dfdf86686d3047cc3d2","Improbable","Improbable","Maîtrise de l'énergie","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Construction durable","Sciences, Technologie, Santé","Génie civil","Former des cadres polyvalents du BTP (bâtiment et travaux publics) capables de concevoir, construire et entretenir des bâtiments, des routes, des ouvrages d'art, avec des modes constructifs compatibles avec les enjeux du développement durable.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8569&cHash=82e7e412934f2f53f9ab289d01eea2b1","Improbable","Improbable","Construction bois","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Construction durable","Sciences, Technologie, Santé","Génie civil","Former des cadres polyvalents du BTP (bâtiment et travaux publics) capables de concevoir, construire et entretenir des bâtiments, des routes, des ouvrages d'art, avec des modes constructifs compatibles avec les enjeux du développement durable.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8615&cHash=ba6683241f58c49dd26fd900aaf8b058","Improbable","Improbable","Systèmes énergétiques (insertion professionnelle immédiate)","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Construction durable","Sciences, Technologie, Santé","Génie civil","Former des cadres polyvalents du BTP (bâtiment et travaux publics) capables de concevoir, construire et entretenir des bâtiments, des routes, des ouvrages d'art, avec des modes constructifs compatibles avec les enjeux du développement durable.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8623&cHash=ffca2379efdf2092b6b9282c4e9c4a5a","Improbable","Improbable","Construction durable (insertion professionnelle immédiate)","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Construction durable","Sciences, Technologie, Santé","Génie civil","Former des cadres polyvalents du BTP (bâtiment et travaux publics) capables de concevoir, construire et entretenir des bâtiments, des routes, des ouvrages d'art, avec des modes constructifs compatibles avec les enjeux du développement durable.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8625&cHash=6c01125795f5f93306d92b5c018ade02","Improbable","Improbable","Structures et méthodes énergétiques (poursuite d'études longues)","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Construction durable (formation trinationale)","Sciences, Technologie, Santé","Génie civil","Former des cadres du BTP, collaborateurs polyvalents participants aux études et à l'exécution des travaux de génie civil en France, en Suisse et en Allemagne. Formation réalisée en 3 ans sur 3 lieux d'études.","Bac+0","Bac+2","3.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH47&cHash=eaef699964eae3f30aa262475ef4ebe6#data-rof-tab-presentation","Improbable","Improbable","Énergétique","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Génie industriel et maintenance","Sciences, Technologie, Santé","Génie industriel et maintenance ","L'objectif du génie industriel est d'optimiser les performances globales d'une entreprise industrielle en agissant sur son organisation et en améliorant les processus mis en œuvre.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH55&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN7642&cHash=84932a919ed13b6f48b3015937d7007a","Oui","Improbable","Sécurité, développement durable","risque et danger d’origines électrique, chimique, mécanique, potentielle, pression, sécurité des personnes, des biens et le respect de l'environnement, développement durable, énergie, déchets,déplacements","Obligatoire","non indiqué","30.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Génie industriel et maintenance","Sciences, Technologie, Santé","Génie industriel et maintenance ","L'objectif du génie industriel est d'optimiser les performances globales d'une entreprise industrielle en agissant sur son organisation et en améliorant les processus mis en œuvre.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH55&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN7686&cHash=088a9683b9380ba15eec8a396e1de28b","Improbable","Improbable","Approche économique des entreprises et législation","non indiqué","Obligatoire","non indiqué","28.0","non indiqué","",""
"Université","Université de Strasbourg","DUT Génie industriel et maintenance (alternance)","Sciences, Technologie, Santé","Génie industriel et maintenance ","L'objectif est de former des techniciens supérieurs dotés de compétences techniques dans les différents domaines industriels. Les diplômés sont appelés à occuper des fonctions dans le domaine du génie industriel et de la maintenance. Ces techniciens seront en mesure de mettre en place et d'assurer une politique de maintenance.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH55&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8195&cHash=d963255bbbbb77566b8abeeeffca5996","Oui","Improbable","Sécurité - développement durable","non indiqué","Obligatoire","non indiqué","18.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Génie électrique et informatique industrielle","Sciences, Technologie, Santé","Génie électrique et informatique industrielle","Le DUT Génie Electrique et Informatique Industrielle (GEII) a pour objectif de former en 2 ans des étudiants aux fonctions de technicien supérieur dans les domaines de l’électronique, de l’électrotechnique, de l’informatique industrielle, des réseaux industriels, de l’automatisme, de l’énergie et des systèmes d’information numérique tout en offrant une possibilité de poursuite d’études.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH51&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN10182&cHash=ac4a05edd3055fd0423ffbf33dd42d7e","Improbable","Improbable","Energie","La production, la distribution et la livraison de l'énergie électrique, Structure d'une installation électrique, Grandeurs électriques en distribution monophasée et en distribution triphasée","Obligatoire","non indiqué","60.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Génie électrique et informatique industrielle","Sciences, Technologie, Santé","Génie électrique et informatique industrielle","Le DUT Génie Electrique et Informatique Industrielle (GEII) a pour objectif de former en 2 ans des étudiants aux fonctions de technicien supérieur dans les domaines de l’électronique, de l’électrotechnique, de l’informatique industrielle, des réseaux industriels, de l’automatisme, de l’énergie et des systèmes d’information numérique tout en offrant une possibilité de poursuite d’études.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH51&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN12165&cHash=be98024a76906b62d635b9b93d5b8da5","Improbable","Improbable","Usine du futur","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","",""
"Université","Université de Strasbourg","DUT Génie électrique et informatique industrielle (formation trinationale)","Sciences, Technologie, Santé","Génie électrique et informatique industrielle","Le DUT Génie Electrique et Informatique Industrielle (GEII) a pour objectif de former en 2 ans des étudiants aux fonctions de technicien supérieur dans les domaines de l’électronique, de l’électrotechnique, de l’informatique industrielle, des réseaux industriels, de l’automatisme, de l’énergie et des systèmes d’information numérique tout en offrant une possibilité de poursuite d’études.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH51&cHash=d98de588ea05c2a10900506df78b6432#data-rof-tab-presentation","Non indiqué","Non indiqué","","","","","","","","1.0"
"Université","Université de Strasbourg","DUT Informatique","Sciences, Technologie, Santé","Informatique","Ce DUT forme des informaticiens généralistes capables de répondre aux besoins des entreprises en matière de conception et de réalisation de programmes informatiques, d'administration de réseaux, de gestion de bases de données ou d'assistance technique.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH48&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN8687&cHash=19bba9d8d15edf89c581a12bfc8f2bf2","Improbable","Improbable","Environnement économique","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Mesures physiques (alternance)","Sciences, Technologie, Santé","Mesures physiques ","L'utilisation des instruments de mesure moderne nécessite des techniciens ayant de fortes compétences en métrologie et en instrumentation. Notre département répond à ce besoin en formant depuis près de vingt ans des techniciens supérieurs en Mesures Physiques.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH57&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN10550&cHash=27e6800f0445aeb459750d8f220fa616","Improbable","Improbable","Physique nucléaire","non indiqué","Obligatoire","non indiqué","21.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT Mesures physiques (alternance)","Sciences, Technologie, Santé","Mesures physiques ","L'utilisation des instruments de mesure moderne nécessite des techniciens ayant de fortes compétences en métrologie et en instrumentation. Notre département répond à ce besoin en formant depuis près de vingt ans des techniciens supérieurs en Mesures Physiques.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH57&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN10552&cHash=433601b17bc96e2c13d39ee2cd383083","Improbable","Improbable","Énergie renouvelable - solaire photovoltaïque","non indiqué","Obligatoire","non indiqué","9.0","non indiqué","",""
